Country/Region,Confirmed,Deaths,Recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered
Suriname,1483,24,925,1.62,62.37,2.59
Sweden,79395,5700,0,7.18,0,inf
Switzerland,34477,1978,30900,5.74,89.62,6.4
Syria,674,40,0,5.93,0,inf
Taiwan*,462,7,440,1.52,95.24,1.59
Tajikistan,7235,60,6028,0.83,83.32,1
Tanzania,509,21,183,4.13,35.95,11.48
Thailand,3297,58,3111,1.76,94.36,1.86
Timor-Leste,24,0,0,0,0,0
Togo,874,18,607,2.06,69.45,2.97
Trinidad and Tobago,148,8,128,5.41,86.49,6.25
Tunisia,1455,50,1157,3.44,79.52,4.32
Turkey,227019,5630,210469,2.48,92.71,2.67
US,4290259,148011,1325804,3.45,30.9,11.16
Uganda,1128,2,986,0.18,87.41,0.2
Ukraine,67096,1636,37202,2.44,55.45,4.4
United Arab Emirates,59177,345,52510,0.58,88.73,0.66
United Kingdom,301708,45844,1437,15.19,0.48,3190.26
Uruguay,1202,35,951,2.91,79.12,3.68
Uzbekistan,21209,121,11674,0.57,55.04,1.04
Venezuela,15988,146,9959,0.91,62.29,1.47
Vietnam,431,0,365,0,84.69,0
West Bank and Gaza,10621,78,3752,0.73,35.33,2.08
Western Sahara,10,1,8,10,80,12.5
Yemen,1691,483,833,28.56,49.26,57.98
Zambia,4552,140,2815,3.08,61.84,4.97
Zimbabwe,2704,36,542,1.33,20.04,6.64
